profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
15;5;15;2;79;11;0;1;0;1;0;1;0
4;5;15;3;79;30;0;1;1;0;1;0;0
0;5;15;4;79;0;0;0;0;0;0;0;1
5;5;16;1;80;11;1;0;0;1;1;0;0
11;5;16;2;80;11;0;1;1;0;0;1;0
13;5;16;3;80;11;1;0;0;1;0;1;0
0;5;16;4;80;0;0;0;0;0;0;0;1
12;6;1;1;81;30;0;1;1;0;0;1;0
9;6;1;2;81;11;1;0;1;0;0;1;0
16;6;1;3;81;30;0;1;0;1;0;1;0
0;6;1;4;81;0;0;0;0;0;0;0;1
2;6;2;1;82;30;1;0;1;0;1;0;0
1;6;2;2;82;11;1;0;1;0;1;0;0
15;6;2;3;82;11;0;1;0;1;0;1;0
0;6;2;4;82;0;0;0;0;0;0;0;1
13;6;3;1;83;11;1;0;0;1;0;1;0
10;6;3;2;83;30;1;0;1;0;0;1;0
7;6;3;3;83;11;0;1;0;1;1;0;0
0;6;3;4;83;0;0;0;0;0;0;0;1
8;6;4;1;84;30;0;1;0;1;1;0;0
4;6;4;2;84;30;0;1;1;0;1;0;0
10;6;4;3;84;30;1;0;1;0;0;1;0
0;6;4;4;84;0;0;0;0;0;0;0;1
11;6;5;1;85;11;0;1;1;0;0;1;0
12;6;5;2;85;30;0;1;1;0;0;1;0
5;6;5;3;85;11;1;0;0;1;1;0;0
0;6;5;4;85;0;0;0;0;0;0;0;1
7;6;6;1;86;11;0;1;0;1;1;0;0
16;6;6;2;86;30;0;1;0;1;0;1;0
8;6;6;3;86;30;0;1;0;1;1;0;0
0;6;6;4;86;0;0;0;0;0;0;0;1
4;6;7;1;87;30;0;1;1;0;1;0;0
3;6;7;2;87;11;0;1;1;0;1;0;0
14;6;7;3;87;30;1;0;0;1;0;1;0
0;6;7;4;87;0;0;0;0;0;0;0;1
16;6;8;1;88;30;0;1;0;1;0;1;0
2;6;8;2;88;30;1;0;1;0;1;0;0
9;6;8;3;88;11;1;0;1;0;0;1;0
0;6;8;4;88;0;0;0;0;0;0;0;1
6;6;9;1;89;30;1;0;0;1;1;0;0
7;6;9;2;89;11;0;1;0;1;1;0;0
2;6;9;3;89;30;1;0;1;0;1;0;0
0;6;9;4;89;0;0;0;0;0;0;0;1
9;6;10;1;90;11;1;0;1;0;0;1;0
6;6;10;2;90;30;1;0;0;1;1;0;0
12;6;10;3;90;30;0;1;1;0;0;1;0
0;6;10;4;90;0;0;0;0;0;0;0;1
10;6;11;1;91;30;1;0;1;0;0;1;0
14;6;11;2;91;30;1;0;0;1;0;1;0
6;6;11;3;91;30;1;0;0;1;1;0;0
0;6;11;4;91;0;0;0;0;0;0;0;1
15;6;12;1;92;11;0;1;0;1;0;1;0
5;6;12;2;92;11;1;0;0;1;1;0;0
11;6;12;3;92;11;0;1;1;0;0;1;0
0;6;12;4;92;0;0;0;0;0;0;0;1
14;6;13;1;93;30;1;0;0;1;0;1;0
13;6;13;2;93;11;1;0;0;1;0;1;0
3;6;13;3;93;11;0;1;1;0;1;0;0
0;6;13;4;93;0;0;0;0;0;0;0;1
3;6;14;1;94;11;0;1;1;0;1;0;0
8;6;14;2;94;30;0;1;0;1;1;0;0
1;6;14;3;94;11;1;0;1;0;1;0;0
0;6;14;4;94;0;0;0;0;0;0;0;1
1;6;15;1;95;11;1;0;1;0;1;0;0
15;6;15;2;95;11;0;1;0;1;0;1;0
4;6;15;3;95;30;0;1;1;0;1;0;0
0;6;15;4;95;0;0;0;0;0;0;0;1
5;6;16;1;96;11;1;0;0;1;1;0;0
11;6;16;2;96;11;0;1;1;0;0;1;0
13;6;16;3;96;11;1;0;0;1;0;1;0
0;6;16;4;96;0;0;0;0;0;0;0;1
12;7;1;1;97;30;0;1;1;0;0;1;0
9;7;1;2;97;11;1;0;1;0;0;1;0
16;7;1;3;97;30;0;1;0;1;0;1;0
0;7;1;4;97;0;0;0;0;0;0;0;1
2;7;2;1;98;30;1;0;1;0;1;0;0
1;7;2;2;98;11;1;0;1;0;1;0;0
15;7;2;3;98;11;0;1;0;1;0;1;0
